Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Рамки-вкладыши Монтессори 1 уровень класс элит";"";"OKS";"RUB";"973.00";"1";"";"";"";"Детская развивающая игра 'Рамки-вкладыши Монтессори 1 уровень'. Нарядная деревянная коробка с 8-ю рамками-вкладышами с различными геометрическими фигурами простой формы. Игровой материал знакомит ребенка с сенсорными эталонами формы, вырабатывает умение зрительно и на ощупь узнавать и различать форму плоских фигур и их расположение. Учась распознавать различные формы, ребёнок тренирует оптико-пространственное мышление, развивает наблюдательность, внимание. Задания на ощупывание, обведение фигур по контуру и штриховку улучшают координацию движений ребёнка, развивают мелкую моторику руки, эффективно готовят руку ребёнка к письму. Создавая картины по собственным сюжетам с помощью предлагаемых контуров, ребёнок может дать волю своей фантазии: таким образом развиваются его творческие способности.";"";"Рамки-вкладыши Монтессори 1 уровень класс элит";"";"";"ramki-vkladyshi-montessori-1-uroven-klass-elit-oks-2109036974";"";"";"17 cm × 10 cm × 17 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/%D0%9C%D0%BE%D0%BD%D1%82%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%B8%201%20%D0%AD%D0%BB%D0%B8%D1%82_0.JPG?itok=XTlhS-j0"
"Рамки-вкладыши Монтессори класс Стандарт";"";"OKS";"RUB";"695.00";"1";"";"";"";"Два планшета размером А4, которые состоят из 8-ми рамок-вкладышей каждый с геометрическими фигурами простой и сложной формы. Каждый вкладыш имеет удобную ручку для захвата, которая прилагается отдельно и крепится самостоятельно взрослым. При помощи этого игрового пособия ребенок познакомится с сенсорными эталонами формы, научиться отличать друг от друга, узнавать и называть их. Оно поспособствует также развитию мелкой моторики руки: рамки-вкладыши предлагается обвести по контуру изнутри и снаружи, заштриховать полученную фигуру. Для развития комбинаторных способностей малыша можно дать задание на составление узоров, орнаментов, картин. В ходе игры происходит развитие таких психических процессов, как внимание, элементы логического мышления.";"";"Рамки-вкладыши Монтессори класс Стандарт";"";"";"ramki-vkladyshi-montessori-klass-standart-oks-2004909823";"";"";"";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/10.gif?itok=XGeNfPi-"
"Рамки-вкладыши Монтессори 2 уровень класс эконом";"";"OKS";"RUB";"258.00";"1";"";"";"";"Детская развивающая игра 'Рамки-вкладыши Монтессори 2 уровень'. Планшет размером А4, содержащий 8 рамок-вкладышей с различными геометрическими фигурами сложной формы. Игровой материал знакомит ребенка с сенсорными эталонами формы, вырабатывает умение зрительно и на ощупь узнавать и различать форму плоских фигур и их расположение. Учась распознавать различные формы, ребёнок тренирует оптико-пространственное мышление, развивает наблюдательность, внимание. Задания на ощупывание, обведение фигур по контуру и штриховку улучшают координацию движений ребёнка, развивают мелкую моторику руки, эффективно готовят руку ребёнка к письму. Создавая картины по собственным сюжетам с помощью предлагаемых контуров, ребёнок может дать волю своей фантазии: таким образом развиваются его творческие способности.";"";"Рамки-вкладыши Монтессори 2 уровень класс эконом";"";"";"ramki-vkladyshi-montessori-2-uroven-klass-ekonom-oks-125435813";"";"";"300 mm × 4 mm × 210 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/8_4.jpg?itok=WA_tKXHi"
"Рамки-вкладыши Монтессори 1 уровень сложности класс эконом";"";"OKS";"RUB";"258.00";"1";"";"";"";"Планшет размером А4, который состоит из 8-ми рамок-вкладышей с простыми геометрическими фигурами. Это круг, квадрат, овал, прямоугольник и четыре разновидности треугольников. Каждый вкладыш имеет удобную ручку для захвата, которая прилагается отдельно и крепится самостоятельно взрослым.      При помощи этого игрового пособия ребенок познакомится с сенсорными  эталонами формы, научиться отличать их друг от друга, узнавать и называть. Оно поспособствует также развитию мелкой моторики руки:  рамки-вкладыши предлагается обвести по внутреннему и внешнему контурам, заштриховать полученные фигуры. . Для развития комбинаторных способностей малыша можно дать задание на составление узоров, орнаментов, картин. В ходе игры  происходит развитие таких  психических процессов,  как внимание, элементы логического мышления.";"";"Рамки-вкладыши Монтессори 1 уровень сложности класс эконом";"";"";"ramki-vkladyshi-montessori-1-uroven-slozhnosti-klass-ekonom-oks-1894267500";"";"";"300 mm × 4 mm × 210 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/4_4_0.jpg?itok=apD5vZ-w"
"!!Игры Е. Даниловой";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Тетрис";"";"OKS";"RUB";"238.00";"1";"";"";"";"Детская развивающая игра 'Тетрис'. Состав игрового материала. Планшет содержит рамки-вкладыши (элементы различной формы, 30 шт.). Что развивает? Игра развивает пространственное воображение, логику, мелкую моторику руки. ";"";"Тетрис";"";"";"tetris-oks-603773549";"";"";"300 mm × 4 mm × 210 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/26_1.jpg?itok=CatSSOLB"
"Радужное лукошко";"";"OKS";"RUB";"238.00";"1";"";"";"";"Детская развивающая игра 'Радужное лукошко'. Состав игрового материала. Планшет с рамками-вкладышами овальной формы (13 шт.), окрашенными в цвета радуги и различным образом поделенными на части, а также методические рекомендации по использованию игрового материала. Что развивает? Игра знакомит ребенка с основными цветами солнечного спектра, с понятиями 'часть' и 'целое', 'большой' и 'маленький'. Размер: А4";"";"Радужное лукошко";"";"";"raduzhnoe-lukoshko-oks-754817131";"";"";"300 mm × 4 mm × 210 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_02277.jpg?itok=qBlY9fK9"
"!!Головоломки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ОЗЕРО Головоломка-мозаика";"";"OKS";"RUB";"130.00";"1";"";"";"";"Для полезного и приятного общения детей и взрослых. Игра служит для развития восприятия, пространственной ориентации, мелкой моторики, внимания, фантазии, речи Предложенные для собирания фигурки могут оказаться персонажами историй, которые Вы придумаете вместе с Вашим ребенком. Например, про кошку с котенком или двух друзей-щенков….";"";"ОЗЕРО Головоломка-мозаика";"";"";"ozero-golovolomka-mozaika-oks-1507746692";"";"";"";"";"";"Картон";"http://oksva-tm.ru/sites/default/files/styles/large/public/albom_41_vid1.gif?itok=O4Yj65lg"
"ЛЕТО Головоломка-мозаика";"";"OKS";"RUB";"130.00";"1";"";"";"";"Для полезного и приятного общения детей и взрослых. Игра служит для развития восприятия, пространственной ориентации, мелкой моторики, внимания, фантазии, речи Предложенные для собирания фигурки могут оказаться персонажами историй, которые Вы придумаете вместе с Вашим ребенком. Например, историю о космическом путешествии ( ракета, космонавт,….)";"";"ЛЕТО Головоломка-мозаика";"";"";"leto-golovolomka-mozaika-oks-124421585";"";"";"";"";"";"Картон";"http://oksva-tm.ru/sites/default/files/styles/large/public/albom_40_vid1.gif?itok=DiGVk5os"
"Головоломка-шнуровка 'Парочка'";"";"OKS";"RUB";"28.00";"1";"";"";"";"Цель игры: Не развязывая шнурок 1. Свести звёздочки вместе, находящиеся на шнурке, если они находятся по разные стороны от середины игровой пластины. 2.Развести звёздочки по разные стороны, находящиеся на шнурке, если они находятся по одну сторону от середины игровой пластины.  ";"";"Головоломка-шнуровка 'Парочка'";"";"";"golovolomka-shnurovka-quotparochkaquot-oks-674389923";"";"";"90 mm × 3 mm × 50 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/IMG0294A1.jpg?itok=6S70NgvB"
"Головоломка Занимательный кубик №3";"";"OKS";"RUB";"39.00";"1";"";"";"";"Игровой материал состоит из шести граней куба. Края граней разрезаны сложным образом. Это игра - головоломка, в которую с удовольствием будут играть и взрослые, и дети. Задача проста по формулировке и достаточно сложна на практике: сложить объемный куб из разрозненных граней. В процессе складывания ребенок развивает внимание, сообразительность, логические и комбинаторные способности, а также мелкую моторику рук. Материал: березовая фанера.";"";"Головоломка Занимательный кубик №3";"";"";"golovolomka-zanimatelnyy-kubik-3-oks-1899379217";"";"";"3 cm × 3 cm × 3 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/10_0.jpg?itok=zK6L1R_r"
"Головоломка Занимательный куб № 2";"";"OKS";"RUB";"36.00";"1";"";"";"";"«Занимательный кубик» - это объемная головоломка, в которую могут играть как дети, так и взрослые. Игра представлена тремя вариантами различной степени сложности, которая определяется способом разреза ребер куба. В каждом из вариантов игры задача состоит в том, чтобы собрать из шести граней объемный куб. В ходе решения этой простой на первый взгляд, но сложной в действительности задачи у ребенка совершенствуется мелкая моторика рук, зрительно-пространственная память, развивается сообразительность, логические и комбинаторные способности, обогащаются геометрические представления. С несколькими комплектами игры возможны игры-соревнования, игры-эстафеты. Состав игры: шесть граней куба (3,5x3,5 см), разрезанных по ребрам разным способом (в зависимости от степени сложности игры).    ";"";"Головоломка Занимательный куб № 2";"";"";"golovolomka-zanimatelnyy-kub--2-oks-1255313497";"";"";"3.5 cm × 3.5 cm × 3.5 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/zankub20.jpg?itok=kM3igbAG"
"Головоломка Занимательный куб № 1";"";"OKS";"RUB";"27.00";"1";"";"";"";"«Занимательный кубик» - это объемная головоломка, в которую могут играть как дети, так и взрослые. Игра представлена тремя вариантами различной степени сложности, которая определяется способом разреза ребер куба. В каждом из вариантов игры задача состоит в том, чтобы собрать из шести граней объемный куб. В ходе решения этой простой на первый взгляд, но сложной в действительности задачи у ребенка совершенствуется мелкая моторика рук, зрительно-пространственная память, развивается сообразительность, логические и комбинаторные способности, обогащаются геометрические представления. С несколькими комплектами игры возможны игры-соревнования, игры-эстафеты. Состав игры: шесть граней куба (3,5x3,5 см), разрезанных по ребрам разным способом (в зависимости от степени сложности игры). ";"";"Головоломка Занимательный куб № 1";"";"";"golovolomka-zanimatelnyy-kub--1-oks-356434656";"";"";"3.5 cm × 3.5 cm × 3.5 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/zankub1.jpg?itok=FsM7FZbd"
"Головоломка Прямоугольники";"";"OKS";"RUB";"80.00";"1";"";"";"";"Авторская головоломка В. Перельмана. Игра представляет собой один из вариантов геометрических мозаик-головоломок. Игра развивает восприятие формы, способность выделять фигуру из фона, глазомер, воображение, зрительно-моторную координацию. К игре прилагаются подробные методические рекомендации с возможными вариантами силуэтных картинок. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Прямоугольники";"";"";"golovolomka-pryamougolniki-oks-940677625";"";"";"150 mm × 3 mm × 100 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_0287.jpg?itok=O86rnQvX"
"Головоломка Треугольники";"";"OKS";"RUB";"80.00";"1";"";"";"";"Авторская головоломка В. Перельмана. Игра представляет собой один из вариантов геометрических мозаик-головоломок. Игра развивает восприятие формы, способность выделять фигуру из фона, глазомер, воображение, зрительно-моторную координацию. К игре прилагаются подробные методические рекомендации с возможными вариантами силуэтных картинок. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Треугольники";"";"";"golovolomka-treugolniki-oks-1536193954";"";"";"150 mm × 3 mm × 100 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_0285.jpg?itok=54dMASum"
"Головоломка Круги, овалы";"";"OKS";"RUB";"80.00";"1";"";"";"";"Авторская головоломка В. Перельмана. Игра представляет собой один из вариантов геометрических мозаик-головоломок. Игра развивает восприятие формы, способность выделять фигуру из фона, глазомер, воображение, зрительно-моторную координацию. К игре прилагаются подробные методические рекомендации с возможными вариантами силуэтных картинок.   Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Круги, овалы";"";"";"golovolomka-krugi-ovaly-oks-1358629558";"";"";"150 mm × 3 mm × 100 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_0286.jpg?itok=sxTqBRRd"
"Головоломка Джунгли";"";"OKS";"RUB";"147.00";"1";"";"";"";"Головоломка представляет собой квадрат, разделенный на 24 части различной формы. Суть игры заключается в конструировании на плоскости разнообразных силуэтов, напоминающих предметы и явления реального мира, различных животных и птиц. Игровое пособие является эффективным средством умственного и творческого развития детей. В процессе игры у ребенка развивается пространственное воображение, конструктивное мышление, комбинаторные способности, сообразительность, смекалка и находчивость. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино» ";"";"Головоломка Джунгли";"";"";"golovolomka-dzhungli-oks-1337726569";"";"";"210 mm × 4 mm × 150 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/28.gif?itok=tkpeKWtr"
"Головоломка Лётчик";"";"OKS";"RUB";"80.00";"1";"";"";"";"Головоломка представляет собой квадрат 90*90мм, разделенный на 13 частей (10 треугольников и 3 прямоугольника). Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Лётчик";"";"";"golovolomka-lёtchik-oks-853497192";"";"";"150 mm × 4 mm × 105 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/18.gif?itok=NZ-WR1ny"
"Головоломка Т-образная";"";"OKS";"RUB";"80.00";"1";"";"";"";"Головоломка представляет собой геометрическую фигуру, по форме напоминающую букву «Т», разделенную наклонными линиями на 5 частей.  Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино» ";"";"Головоломка Т-образная";"";"";"golovolomka-t-obraznaya-oks-1183936812";"";"";"150 mm × 4 mm × 105 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/26.jpg?itok=EgLKPhcF"
"Головоломка Город мастеров";"";"OKS";"RUB";"147.00";"1";"";"";"";"Головоломка представляет собой квадрат, разделенный на 25 частей различной формы. Суть игры заключается в конструировании на плоскости разнообразных силуэтов, напоминающих предметы и явления реального мира, различных животных и птиц. Игровое пособие является эффективным средством умственного и творческого развития ребенка. В процессе игры у ребенка развивается пространственное воображение, конструктивное мышление, комбинаторные способности, сообразительность, смекалка и находчивость. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»  ";"";"Головоломка Город мастеров";"";"";"golovolomka-gorod-masterov-oks-689797367";"";"";"210 mm × 150 mm × 3 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/IMG_4745_0.jpg?itok=HQvw4WcE"
"Головоломка Абрис";"";"OKS";"RUB";"80.00";"1";"";"";"";"Планшет головоломки содержит набор из 10 геометрических форм. Суть игры заключается в конструировании на плоскости разнообразных силуэтов, напоминающих предметы и явления реального мира, различных животных и птиц. Игровое пособие является эффективным средством умственного и творческого развития детей. В процессе логической игры развиваются пространственное воображение, конструктивное мышление, комбинаторные способности, сообразительность, смекалка и находчивость. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Абрис";"";"";"golovolomka-abris-oks-1445813588";"";"";"150 mm × 4 mm × 105 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/glvk_abris_big.jpg?itok=Di2-UCOm"
"Головоломка Гексамино";"";"OKS";"RUB";"80.00";"1";"";"";"";"Детская развивающая игра - головоломка 'Гексамино'. 12 элементов, каждый из которых состоит из шести равносторонних треугольников. Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Гексамино";"";"";"golovolomka-geksamino-oks-1669525101";"";"";"150 mm × 4 mm × 105 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/8.gif?itok=QCpA4F6Z"
"Головоломка Пентамино";"";"OKS";"RUB";"80.00";"1";"";"";"";"Детская развивающая игра - головоломка 'Пентамино'. 12 элементов, различных по форме, но равных по площади.  Мировые и авторские головоломки являются эффективным средством развития умственных и творческих способностей. Суть игр заключается в построении из плоских геометрических фигур различных силуэтов – животных, людей, растений, предметов окружающего мира. Каждая игра имеет свой комплект элементов, и методические рекомендации по ее использованию. К каждой игре прилагается набор изображений – заданий для сборки разного уровня сложности. Игры развивают восприятие формы, способность выделять фигуру из фона, способность к выделению основных признаков объекта, глазомер, воображение (репродуктивное и творческое), зрительно-моторную координацию, мышление, зрительный анализ/синтез, умение работать по правилам. Материал игр (фанера) позволяет обводить карандашом как отдельные геометрические фигуры, так и получаемые из них силуэты. Это можно использовать для тренировки изобразительных умений ребенка. Наиболее легкими для освоения являются головоломки «Абрис», «Головоломка Пифагора», «Монгольская игра»; наиболее сложными – «Вьетнамская игра», «Пентамино», «Гексамино»";"";"Головоломка Пентамино";"";"";"golovolomka-pentamino-oks-1079088538";"";"";"150 mm × 4 mm × 105 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/22.gif?itok=shcumYUT"
