Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"'Лабиринты Букв. Выпуск 2' (Согласные)";"";"";"RUB";"100";"1";"";"";"";"Задания сборника направлены на формирование моторного образа буквы, знакомство с согласными звуками, соотнесение их с буквами, тренировку навыков чтения. Занятия по пособию будут наиболее эффективны при использовании игрового пособия 'Игровизор'.Возраст: 4-8";"";"'Лабиринты Букв. Выпуск 2' (Согласные)";"";"";"labirinty-bukv-vypusk-2-soglasnye-gek-302805628";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/bfead58f-2ac2-4b59-a161-8ad9502b8bd9.png"
"'Лабиринты Букв. Выпуск 1' (Гласные)";"";"";"RUB";"85";"1";"";"";"";"Задания сборника направлены на формирование моторного образа буквы, знакомство с гласными звуками, соотнесение их с буквами, тренировку навыков чтения. Занятия по пособию будут наиболее эффективны при использовании игрового пособия 'Игровизор'.Возраст: 4-8";"";"'Лабиринты Букв. Выпуск 1' (Гласные)";"";"";"labirinty-bukv-vypusk-1-glasnye-gek-138712";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/c4cb609a-ee5e-49a8-a458-49f62db1797f.png"
"'Катя, Рыжик и Рыбка' (Геометрические представления)";"";"";"RUB";"60";"1";"";"";"";"Задания направлены на знакомство с эталонами формы и величины, с пространственными отношениями. Занятия по пособию будут наиболее эффективны при использовании игрового пособия 'Игровизор'.Возраст: 3-7";"";"'Катя, Рыжик и Рыбка' (Геометрические представления)";"";"";"katya-ryzhik-i-rybka-geometricheskie-predstavleniya-gek-1059909151";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/3e94beb7-4c13-4c89-962e-f780c73201d1.png"
"'Игровой калейдоскоп 1'";"";"";"RUB";"100";"1";"";"";"";"В альбоме собраны графические варианты развивающих игр 'Геоконт', 'Прозрачный квадрат', 'Логоформочки', 'Шнур-Затейник', 'Шнур-Малыш'. Занятия по пособию будут наиболее эффективны при использовании игрового пособия 'Игровизор'.Возраст: 3-8";"";"'Игровой калейдоскоп 1'";"";"";"igrovoy-kaleydoskop-1-gek-1154563937";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/3d361c23-50bd-49a2-a5cf-6bf7189acfc1.png"
"!!Играем в математику";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Счетовозик";"";"";"RUB";"390";"1";"";"";"";"Продевая шнурок сквозь отверстия, закрепляя его вокруг определенной кнопки, ребенок выделяет таким образом нужные для решения математических задач цифры и знаки (сложение, вычитание, равенства, неравенства, больше, меньше).Возраст: 3-7";"";"Счетовозик";"";"";"schetovozik-gek-963767067";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/d437faa7-eefc-48c6-9bfc-2f9e8424177c.png"
"Планета умножения";"";"";"RUB";"100";"1";"";"";"";"Особенность 'Планеты умножения' заключается в том, что это коллективная игра. Благодаря соревновательному элементу, изучение умножения становится захватывающимВозраст: 5-9";"";"Планета умножения";"";"";"planeta-umnozheniya-gek-1362927720";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_08_09/8ec524e5-391f-4b79-8f33-5ea721dc65de.png"
"Математические корзинки 5";"";"";"RUB";"490";"1";"";"";"";"Складывая 'грибки' в 'корзинки' и заполняя 'корзинками' ячейки игрового поля, ребенок учится основным математическим операциям, устному счету, развивает мелкую моторикуВозраст: 3-5";"";"Математические корзинки 5";"";"";"matematicheskie-korzinki-5-gek-1526552584";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_04/40964af8-368f-4d8c-b9a2-cc6ad3bab4cd.png"
"Математические корзинки 10";"";"";"RUB";"990";"1";"";"";"";"Усложненный вариант игры 'Математические корзинки - 5', позволяющий работать с числами второго десятка и предназначенный для детей более старшего возрастаВозраст: 3-7";"";"Математические корзинки 10";"";"";"matematicheskie-korzinki-10-gek-1886039532";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_04/d02b34f9-18fa-4ac4-a5c8-ba9c9e77e93c.png"
"Кораблик Буль-Буль Ларчик (счет до ста)";"";"";"RUB";"1420";"1";"";"";"";"Десятимачтовый 'Буль-Буль' - самый сложный вариант в нашей серии корабликов. Разноцветные флажки прикрепляются к палубам, согласно условиям логико-математических задач из сборника, а ребята в процессе игры учатся оперировать целыми числами, осваивают десятеричный счет, счет дл 100, развивают логику и пространственное мышление.Возраст: 5-10";"";"Кораблик Буль-Буль Ларчик (счет до ста)";"";"";"korablik-bul-bul-larchik-schet-do-sta-gek-1821343665";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_08_09/ed2bf926-0080-470e-806f-e8710cd64092.png"
"Кораблик 'Плюх-Плюх'";"";"";"RUB";"600";"1";"";"";"";"Пятимачтовый кораблик 'Плюх-Плюх' - игра для самых маленьких. Ребята знакомятся с простыми числами, впервые учатся счету, узнают цвета и развивают мелкую моторику.Возраст: 1,5-4";"";"Кораблик 'Плюх-Плюх'";"";"";"korablik-plyukh-plyukh-gek-1897002943";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/8434f867-2b0b-4485-ae6d-421b0c2a9c16.png"
"Кораблик 'Брызг-Брызг' Ларчик";"";"";"RUB";"980";"1";"";"";"";"К радужным мачтам по вертикальным, горизонтальным и диагональным рядам прикрепляются флажки, согласно условиям логико-математических задач из сборника. Переходя от простых задач к сложным, ребята учатся основным математическим операциям, разивают логику, пространственное мышление и мелкую моторику.Возраст: 4-7";"";"Кораблик 'Брызг-Брызг' Ларчик";"";"";"korablik-bryzg-bryzg-larchik-gek-189475490";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/e57cfb41-6774-4e10-937b-72a8f0139bfb.png"
"!!Чтение через игру";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Яблонька";"";"";"RUB";"200";"1";"";"";"";"Ребенок продевает шнурок сквозь отверстия, закручивает его вокруг отдельной буквы и из таких букв составляет слова. С помощью указанного в инструкции списка подбирает слова со «звездочкой» и придумывает свои слова.Возраст: 3-9";"";"Яблонька";"";"";"yablonka-gek-1654745501";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_04_05/e468b3ef-5aca-453c-818e-6d9cd2f98fcc.png"
"Эрудит 'Парусник'";"";"";"RUB";"200";"1";"";"";"";"Возраст: 3-8";"";"Эрудит 'Парусник'";"";"";"erudit-parusnik-gek-666784359";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/0984ee3e-703c-4867-8cbe-84f15f306b51.png"
"Читайка на шариках 2";"";"";"RUB";"70";"1";"";"";"";"Ребенок загибает один уголок с буквами и составляет слово. Загибает другой уголок с буквами, составляет новое слово. Таким образом с помощью данного пособия можно составить и прочитать 130 слов.Возраст: 3-9";"";"Читайка на шариках 2";"";"";"chitayka-na-sharikakh-2-gek-1238552021";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/fa6893aa-7836-43d7-8a0a-acd5772e3e00.png"
"Читайка на шариках 1";"";"";"RUB";"70";"1";"";"";"";"Ребенок загибает один уголок с буквами и составляет слово. Загибает другой уголок с буквами, составляет новое слово. Таким образом с помощью данного пособия можно составить и прочитать 128 слов.Возраст: 3-9";"";"Читайка на шариках 1";"";"";"chitayka-na-sharikakh-1-gek-1630293233";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/2a955866-327e-4b5b-b7bc-e5606cd9985b.png"
"Теремки Воскобовича";"";"";"RUB";"2950";"1";"";"";"";"Ребенок конструирует слоги, вкладывая кубик в теремок; составляет слова, соединяя теремки с кубиками.
Освоить орфографические исключения помогает игра «Да-Нет», составление слов – игры «Паровоз, вагончики», «Перевертыши», «Заменялки» и др.Возраст: 2-8";"";"Теремки Воскобовича";"";"";"teremki-voskobovicha-gek-989807982";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/ce90b1f7-820f-4c43-a737-1cf481fc4883.png"
"Снеговик";"";"";"RUB";"250";"1";"";"";"";"Ребенок продевает шнурок сквозь отверстия, закручивает его вокруг отдельной буквы и из таких букв составляет слова. С помощью указанного в инструкции списка подбирает слова со «звездочкой» и придумывает свои слова.Возраст: 3-9";"";"Снеговик";"";"";"snegovik-gek-220799296";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/468aeb55-3105-46b2-86e2-963807f85ec5.png"
"Складушки + CD";"";"";"RUB";"430";"1";"";"";"";"Пособие выполнено в виде книжки, на каждой странице которой - яркая картинка и складовая песенка. На диске озвучены песенки-складушки в авторском исполнении. Пособие можно применять как в детском саду, так и дома. В инструкции подробно описано, каким образом нужно строить занятия с детьми.Возраст: 2-7";"";"Складушки + CD";"";"";"skladushki--cd-gek-1190386328";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/0ba12da4-a44e-4c7a-89b6-5028816e4eb9.png"
"Складушки";"";"";"RUB";"270";"1";"";"";"";"Пособие выполнено в виде книжки, на каждой странице которой - яркая картинка и складовая песенка. Пособие можно применять как в детском саду, так и дома. В инструкции подробно описано, как построить занятия с детьми.Возраст: 2-7";"";"Складушки";"";"";"skladushki-gek-390017486";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/fcb67ed5-3c26-4f31-ad82-224783bb91e3.png"
"Ромашка";"";"";"RUB";"200";"1";"";"";"";"Ребенок продевает шнурок сквозь отверстия, закручивает его вокруг отдельной буквы и из таких букв составляет слова. С помощью указанного в инструкции списка подбирает слова со «звездочкой» и придумывает свои слова.Возраст: 3-9";"";"Ромашка";"";"";"romashka-gek-1635979501";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_04_05/1f888bad-2694-4b2d-b07f-52a2c7f13e80.png"
"Песенки-Складушки (CD)";"";"";"RUB";"190";"1";"";"";"";"На диске озвучены песенки-складушки в авторском исполнении.Возраст: 2-7";"";"Песенки-Складушки (CD)";"";"";"pesenki-skladushki-cd-gek-834301730";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/506b0bbc-3a09-48a4-bcf0-f6261784c855.png"
"!!Геоконт";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Резинки 'Радуга'";"";"";"RUB";"150";"1";"";"";"";"Резинки нужно разрезать и сшить по приведенной в инструкции схеме для получения кольцевых резинок или резинок «с ушками». Специальные цветные резинки используются для составления фигур на игровом поле 'Геоконта'Возраст: 3-8";"";"Резинки 'Радуга'";"";"";"rezinki-raduga-gek-2096212006";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/ec738e0f-d787-4e52-8888-a83d70105d8b.png"
"Плакат 'Геоконт. Алфавит'";"";"";"RUB";"230";"1";"";"";"";"Способствует развитию умения работать на сетке координат, находить нужные буквы, составлять и шифровать слова.Возраст: 4-10";"";"Плакат 'Геоконт. Алфавит'";"";"";"plakat-geokont-alfavit-gek-892710143";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/5d404158-fd79-404e-b37b-3e74a7a80add.png"
"Геоконт 'Штурвал'";"";"";"RUB";"1320";"1";"";"";"";"Возраст: 3-9";"";"Геоконт 'Штурвал'";"";"";"geokont-shturval-gek-1135747668";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/63c2794c-0144-4899-80e5-50a45b545fc9.png"
"Геоконт 'Малыш' + сказка";"";"";"RUB";"530";"1";"";"";"";"'Малыш Гео, Ворон Метр и Я, дядя Слава' - сказка о приключениях Малыша Гео, которые тесно соединены с конструированием и решением интеллектуальных задач. Взрослые читают сказку детям, а те складывают фигуры на игровом поле «Геоконта», решают логические задачи.Возраст: 3-8";"";"Геоконт 'Малыш' + сказка";"";"";"geokont-malysh--skazka-gek-19955200";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/d0391502-732f-4484-97e8-841243f6095a.png"
"Геоконт 'Малыш'";"";"";"RUB";"480";"1";"";"";"";"Игра 'Геоконт' развивает сенсорику, мелкую моторику, логику, фантазию, учит силуэтному конструированию, совершенствует интеллект и развивает творческие и логические способности ребенка. Согласно определенным заданиям, ребенок натягивает резинки на гвоздики так, что создает предметные силуэты, геометрические фигуры, узоры, цифры, буквы - по образцу, словесному алгоритму и собственному замыслу.Возраст: 3-8";"";"Геоконт 'Малыш'";"";"";"geokont-malysh-gek-1564339807";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/f4cf7529-b9d2-4000-9866-c764275ebe36.png"
"Геоконт 'Великан'";"";"";"RUB";"1100";"1";"";"";"";"'Геоконт 'Великан' легко прикрепляется к стене и прекрасно подходит для коллективных игр. Развивает сенсорику, мелкую моторику, логику, фантазию, учит силуэтному конструированию, совершенствует интеллект и развивает творческие и логические способности ребенка.Возраст: 3-8";"";"Геоконт 'Великан'";"";"";"geokont-velikan-gek-1700130998";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/07651c69-7dfa-4006-9db4-28ab2549d300.png"
"Геовизор";"";"";"RUB";"210";"1";"";"";"";"Многофункциональное игровое пособие, на котором ребенок маркером отмечает точки координатной сетки, соединяет их линией на пленке или листе бумаги и создает предметные силуэты, геометрические фигуры, цифры, узоры, буквы по образцу, словесному алгоритму и собственному замыслу.Возраст: 5-9";"";"Геовизор";"";"";"geovizor-gek-1558484097";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/526dd119-add0-4f21-b2c7-30da73933f27.png"
"!!Игровой квадрат";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Квадрат Воскобовича 4-х цв.";"";"";"RUB";"240";"1";"";"";"";"Складывая четырехцветный «Квадрат» по линиям сгиба в разных направлениях, ребенок конструирует геометрические и предметные фигуры по схеме или собственному замыслу. Четыре цвета усложняют игру, делают ее более красочной, развивают пространственное мышление и фантазию.Возраст: 5-9";"";"Квадрат Воскобовича 4-х цв.";"";"";"kvadrat-voskobovicha-4-kh-tsv-gek-1701088001";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/41cd057d-74e6-47a0-986c-0dcb7f6c4ff7.png"
"Квадрат Воскобовича 2-х цв. + сказка";"";"";"RUB";"280";"1";"";"";"";"Пособие «Тайна Ворона Метра» - это рассказ о приключениях Квадрата, которые тесно соединены с заданиями на конструирование. Взрослые читают сказку детям, а те, в свою очередь, выполняют развивающие задания, согласно сказочному сюжету.Возраст: 2-6";"";"Квадрат Воскобовича 2-х цв. + сказка";"";"";"kvadrat-voskobovicha-2-kh-tsv--skazka-gek-1917146845";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/e384892a-cfdf-46df-9cbb-62dea106eab3.png"
"Квадрат Воскобовича 2-х цв.";"";"";"RUB";"240";"1";"";"";"";"Складывая двухцветный «Квадрат» по линиям сгиба в разных направлениях, ребенок конструирует геометрические и предметные фигуры по схеме или собственному замыслу. Чтобы усложнить развивающую задачу и привести ребенка к объемному конструированию, взрослый должен всего лишь сделать два разреза в определенных местах по схеме.Возраст: 2-6";"";"Квадрат Воскобовича 2-х цв.";"";"";"kvadrat-voskobovicha-2-kh-tsv-gek-852616331";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/bee0df2c-7e39-4a2f-b9bc-2a1b1ce6181c.png"
"Змейка";"";"";"RUB";"240";"1";"";"";"";"Четырехцветная 'Змейка' поможет ребенку в конструировании геометрических предметных фигур, в развитии логики и пространственного мышления, а также в освоении азов школьной программы по геометрии.Возраст: 4-12";"";"Змейка";"";"";"zmeyka-gek-107491099";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/b7e24a67-1eea-4a14-94ae-e93a5b4acc67.png"
"!!Прозрачный квадрат";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Прозрачный квадрат Ларчик";"";"";"RUB";"480";"1";"";"";"";"Дает возможность в процессе конструирования различных фигур и образов развивать мышление ребенка, совершенствовать его память и воображение, реализовывать творческие идеи.Возраст: 3-9";"";"Прозрачный квадрат Ларчик";"";"";"prozrachnyy-kvadrat-larchik-gek-1263152167";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_08_09/ba68a37f-df2d-4a62-9e48-ffea3607101e.png"
"Прозрачный квадрат + сказка";"";"";"RUB";"280";"1";"";"";"";"Сказка о Малыше Гео и Незримке Всюсь, приключения которых тесно переплетаются с решением интеллектальных задач и конструированием фигур по схемам. Взрослые читают сказку детям, а те, в свою очередь, выполняют развивающие задания, согласно сказочному сюжету.Возраст: 3-9";"";"Прозрачный квадрат + сказка";"";"";"prozrachnyy-kvadrat--skazka-gek-1035619070";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/874e5e16-c069-4a46-8701-c4687f94bffa.png"
"Прозрачный квадрат";"";"";"RUB";"240";"1";"";"";"";"Ребенок конструирует, составляет геометрические фигуры или фигурные силуэты, накладывая квадратные пластинки друга на друга и совмещая закрашенные части, или прикладывая пластинки друг к другу для выполнения определенных заданий. Эта игра прекрасно развивает образное и пространственное мышление, логику, дает математические знания и представления о геометрии.Возраст: 3-9";"";"Прозрачный квадрат";"";"";"prozrachnyy-kvadrat-gek-861226310";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/c7a575b8-ef58-474f-8e59-d9843a0ac850.png"
"Прозрачная цифра";"";"";"RUB";"240";"1";"";"";"";"Накладывая игровые пластинки друга на друга, ребенок совмещает полоски и составляет цифры сначала по образцу, а потом и по памяти, решает разивающие головоломки. Из полосок можно конструировать еще и буквы, и предметные силуэты (как из альбомов, так и собственные, фантазийные).Возраст: 4-9";"";"Прозрачная цифра";"";"";"prozrachnaya-tsifra-gek-757838639";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/8580f103-5be5-4871-b1b5-07483d8ebbfc.png"
"Домино";"";"";"RUB";"100";"1";"";"";"";"Универсальная развивающая игра, которая может быть как индивидуальной, так и групповой, в зависимости от игрового задания. Позволяет развить у ребегка логическое мышление, внимательность, конструктивные навыки.Возраст: 5-9";"";"Домино";"";"";"domino-gek-335264937";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_09/b241affc-7440-487e-b631-b48d4110b413.png"
"!!Чудо-конструкторы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Чудо-Цветик";"";"";"RUB";"360";"1";"";"";"";"В игровом поле или на столе ребенок составляет цветики - «двудольки», «трехдольки», «четырехдольки», «пятидольки» и так до десяти. Более сложный вариант игры предполагает конструирование фигур по схемам из альбома или по собственному замыслу.Возраст: 3-7";"";"Чудо-Цветик";"";"";"chudo-tsvetik-gek-1344643365";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/d32d826e-ad40-4b89-8da9-8c043eb06d96.png"
"Чудо-Соты 1 Ларчик";"";"";"RUB";"800";"1";"";"";"";"Этот вариант игры предназначен для коллективных игр и используется для оснащения развивающей среды в образовательных учреждениях. Дети складывают «соты» из частей, прикрепляя их к коврографу, составляют «дорожки» («соты» прикрепляются рядом друг с другом), конструируют фигурки.Возраст: 4-6";"";"Чудо-Соты 1 Ларчик";"";"";"chudo-soty-1-larchik-gek-1629902880";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/78190b97-1115-4086-b6ed-7093221427f7.png"
"Чудо-Соты 1";"";"";"RUB";"390";"1";"";"";"";"Из различных по форме деталей конструктора ребенок сначала складывает 'соты' непосредственно в рамке или на столе, а затем конструирует фигуры по схемам из альбома (с различными уровнями сложности) или по собственному замыслу.Возраст: 4-6";"";"Чудо-Соты 1";"";"";"chudo-soty-1-gek-1147112241";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/f5b82042-6842-4731-b489-16653c13fe1f.png"
"Чудо-Крестики 3 + (блистер)";"";"";"RUB";"430";"1";"";"";"";"Возраст: 5-7";"";"Чудо-Крестики 3 + (блистер)";"";"";"chudo-krestiki-3--blister-gek-1666129270";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/ff9b6493-c6a4-4921-a62f-726edfbc4298.png"
"Чудо-Крестики 3";"";"";"RUB";"460";"1";"";"";"";"Усложненный вариант игры 'Чудо Крестики 2' - из различных по форме деталей конструктора ребенок сначала складывает 'крестики' непосредственно в рамке или на столе, а затем конструирует фигуры по схемам из альбома (с различными уровнями сложности) или по собственному замыслу.Возраст: 5-7";"";"Чудо-Крестики 3";"";"";"chudo-krestiki-3-gek-478798439";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/436a4350-6cbd-454f-9b1a-31ade67bea2d.png"
"Чудо-Крестики 2 Ларчик";"";"";"RUB";"980";"1";"";"";"";"Этот вариант игры предназначен для коллективных игр и используется для оснащения развивающей среды в образовательных учреждениях. Дети складывают «крестики» из частей, прикрепляя их к коврографу, составляют «дорожки» («крестики» прикрепляются рядом друг с другом), конструируют фигурки.Возраст: 4-6";"";"Чудо-Крестики 2 Ларчик";"";"";"chudo-krestiki-2-larchik-gek-1688316697";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/1c34be3b-d677-4ead-9d89-4972a9070af2.png"
"Чудо-крестики 2 + (блистер)";"";"";"RUB";"380";"1";"";"";"";"Из различных по форме деталей конструктора ребенок сначала складывает 'крестики' непосредственно в рамке или на столе, а затем конструирует фигуры по схемам из альбома (с различными уровнями сложности) или по собственному замыслу.
Можно играть в настольную игру.Возраст: 4-6";"";"Чудо-крестики 2 + (блистер)";"";"";"chudo-krestiki-2--blister-gek-44277069";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/7681d389-b78e-49fc-bb82-7d109ac79cd1.png"
"Чудо-Крестики 2";"";"";"RUB";"410";"1";"";"";"";"Усложенный вариант игры 'Чудо Крестики 1' - из различных по форме деталей конструктора ребенок сначала складывает 'крестики' непосредственно в рамке или на столе, а затем конструирует фигуры по схемам из альбома (с различными уровнями сложности) или по собственному замыслу.Возраст: 4-6";"";"Чудо-Крестики 2";"";"";"chudo-krestiki-2-gek-1835951430";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_04_20/a8edde77-84ff-42aa-b8f0-cb0e574fb8e4.png"
"Чудо-Крестики 1";"";"";"RUB";"250";"1";"";"";"";"Из различных по форме деталей конструктора ребенок сначала складывает 'крестики' непосредственно в рамке или на столе, а затем конструирует фигуры по схемам из альбома (с различными уровнями сложности) или по собственному замыслу.Возраст: 2-4";"";"Чудо-Крестики 1";"";"";"chudo-krestiki-1-gek-1128463237";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_09/9844578b-74af-40c2-882c-59be081fed38.png"
"Трафарет 'Чудо-Соты 1'";"";"";"RUB";"140";"1";"";"";"";"Развитие сенсорных способностей (размер, цвет), творческое конструирование, развитие моторики руки, формирование пространственных представлений, математических понятий.Возраст: 4-8";"";"Трафарет 'Чудо-Соты 1'";"";"";"trafaret-chudo-soty-1-gek-1331389019";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/e4f28642-65f2-437c-94bc-a5f71f9d2205.png"
"Трафарет 'Чудо-Крестики 2'";"";"";"RUB";"140";"1";"";"";"";"Развитие сенсорных способностей (размер, цвет), творческое конструирование, развитие моторики руки, формирование пространственных представлений, математических понятий.Возраст: 4-8";"";"Трафарет 'Чудо-Крестики 2'";"";"";"trafaret-chudo-krestiki-2-gek-1855261404";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/6f1cbc0a-21ce-4488-947e-b21c28ddf0dc.png"
"Настольная игра 'Чудо-Соты 1'";"";"";"RUB";"50";"1";"";"";"";"Коллективная игра. Позволяет закрепить порядковый счет, находить и соотносить нужные элементы конструктора с рисунком на поле.Возраст: 4-7";"";"Настольная игра 'Чудо-Соты 1'";"";"";"nastolnaya-igra-chudo-soty-1-gek-625752493";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_29/3dbab361-d96e-4578-8c06-58b99fef544b.jpg"
"Настольная игра 'Чудо-Крестики 2'";"";"";"RUB";"50";"1";"";"";"";"Коллективная игра. Позволяет закрепить порядковый счет, находить и соотносить нужные элементы конструктора с рисунком на поле.Возраст: 4-7";"";"Настольная игра 'Чудо-Крестики 2'";"";"";"nastolnaya-igra-chudo-krestiki-2-gek-1839408977";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_29/9b095e6e-e768-4d9f-905b-49a8fe300256.jpg"
"Альбом фигурок 'Чудо-Соты 1'";"";"";"RUB";"90";"1";"";"";"";"Формирование умений работы со схемами.Возраст: 4-6";"";"Альбом фигурок 'Чудо-Соты 1'";"";"";"albom-figurok-chudo-soty-1-gek-304341147";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/d7b88bc3-a4be-4e91-b030-dfd226f7234c.png"
"Альбом фигурок 'Чудо-Крестики 2'";"";"";"RUB";"90";"1";"";"";"";"Формирование умений работы со схемами.Возраст: 4-6";"";"Альбом фигурок 'Чудо-Крестики 2'";"";"";"albom-figurok-chudo-krestiki-2-gek-898754440";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/8a8f8a5d-2b05-4297-b3cd-06b0fff8cb6a.png"
"!!Эталонные конструкторы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Эталонные фигуры (ковролин, 5 фигур * 4 цв. * 3 разм.)";"";"";"RUB";"850";"1";"";"";"";"Возраст: 3-7";"";"Эталонные фигуры (ковролин, 5 фигур * 4 цв. * 3 разм.)";"";"";"etalonnye-figury-kovrolin-5-figur--4-tsv--3-razm-gek-1246388037";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/46232660-53d3-4925-b8cd-a7d76b446dbd.png"
"Черепашки Пирамидка";"";"";"RUB";"620";"1";"";"";"";"Удобные детали позволяют детям складывать различные образные фигуры по схемам из альбома или по собственному замыслу. Можно как играть на столе, так и нанизывать детали игры на стержень. Направлена на развитие сенсорных способностей (размер, цвет), творческое конструирование, развитие моторики руки, формирование пространственных представлений, математических понятий.Возраст: 1,5-4";"";"Черепашки Пирамидка";"";"";"cherepashki-piramidka-gek-854519174";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_29/026b8fc3-022d-4279-995e-1eed5e938576.png"
"Черепашки Ларчик";"";"";"RUB";"800";"1";"";"";"";"Игра крепится к стене, что делает игру незаменимой как для индивидуального домашнего использования, так и для проведения групповых развивающих занятий в детских садах. Направлена на развитие сенсорных способностей (размер, цвет), творческое конструирование, развитие моторики руки, формирование пространственных представлений, математических понятий.Возраст: 1,5-4";"";"Черепашки Ларчик";"";"";"cherepashki-larchik-gek-1921119353";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_29/40b6b087-76f7-4ee6-92b7-0d5070883818.png"
"Фонарики(с держателями)";"";"";"RUB";"520";"1";"";"";"";"'Фонарики' - популярная головоломка для самых маленьких. Сначала малыши составляют геометрические фигуры из двух частей одного цвета, играя в поле. Трехлетние дети конструируют из деталей головоломки фигурки по схеме и собственному замыслу, играя на столе.Возраст: 1,5-4";"";"Фонарики(с держателями)";"";"";"fonarikis-derzhatelyami-gek-354077269";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_15/ed8ec6ec-093a-49f2-ad1a-5c59f2cb6ef0.png"
"Фонарики Ларчик";"";"";"RUB";"730";"1";"";"";"";"Развитие сенсорных способностей (форма, размер, цвет), геометрических представлений, творческое конструирование.Возраст: любой";"";"Фонарики Ларчик";"";"";"fonariki-larchik-gek-1254912216";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_15/4cea38b0-3b62-449f-ad96-dcf944be0df7.png"
